scientific_name,common_name,listing_location,listing_region,esa_status,group
Etheostoma percnurum,Duskytail darter,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii)),4,"Experimental Population, Non-Essential",Fishes
Etheostoma susanae,Cumberland darter,Wherever found,4,Endangered,Fishes
Pleurobema marshalli,Flat pigtoe,Wherever found,4,Endangered,Clams
Quadrula stapes,Stirrupshell,Wherever found,4,Endangered,Clams
Etheostoma rubrum,Bayou darter,Wherever found,4,Threatened,Fishes
Fusconaia cor,Shiny pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Epioblasma penita,Southern combshell,Wherever found,4,Endangered,Clams
Elimia crenatella,Lacy elimia (snail),Wherever found,4,Threatened,Snails
Erimonax monachus,Spotfin Chub,"U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))",4,"Experimental Population, Non-Essential",Fishes
Athearnia anthonyi,Anthony's riversnail,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Snails
Pleurobema hanleyianum,Georgia pigtoe,Wherever found,4,Endangered,Clams
Epioblasma capsaeformis,Oyster mussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Pleurobema clava,Clubshell,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Pleurobema furvum,Dark pigtoe,Wherever found,4,Endangered,Clams
Etheostoma boschungi,Slackwater darter,Wherever found,4,Threatened,Fishes
Pleurobema pyriforme,Oval pigtoe,Wherever found,4,Endangered,Clams
Fusconaia cuneolus,Finerayed pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Leptoxis taeniata,Painted rocksnail,Wherever found,4,Threatened,Snails
Anguispira picta,Painted snake coiled forest snail,Wherever found,4,Threatened,Snails
Etheostoma percnurum,Duskytail darter,"Tellico River, TN",4,"Experimental Population, Non-Essential",Fishes
Lampsilis virescens,Alabama lampmussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Hamiota australis,Southern Sandshell,Wherever found,4,Threatened,Clams
Obovaria choctawensis,Choctaw bean,Wherever found,4,Endangered,Clams
Noturus stanauli,Pygmy madtom,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i)),4,"Experimental Population, Non-Essential",Fishes
Noturus flavipinnis,Yellowfin madtom,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii)),4,"Experimental Population, Non-Essential",Fishes
Pleurobema georgianum,Southern pigtoe,Wherever found,4,Endangered,Clams
Theliderma intermedia,Cumberland monkeyface (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Etheostoma trisella,Trispot darter,Wherever found,4,Threatened,Fishes
Margaritifera hembeli,Louisiana pearlshell,Wherever found,4,Threatened,Clams
Pleurobema strodeanum,Fuzzy pigtoe,Wherever found,4,Threatened,Clams
Fundulus julisia,Barrens topminnow,Wherever found,4,Endangered,Fishes
Noturus munitus,Frecklebelly madtom,Upper Coosa River DPS,4,Threatened,Fishes
Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii)),4,"Experimental Population, Non-Essential",Fishes
Epioblasma florentina florentina,Yellow blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Reginaia rotulata,Round Ebonyshell,Wherever found,4,Endangered,Clams
Leptoxis foremani,Interrupted (=Georgia) Rocksnail,Wherever found,4,Endangered,Snails
Obovaria subrotunda,Round hickorynut,Wherever found,4,Threatened,Clams
Pleurobema perovatum,Ovate clubshell,Wherever found,4,Endangered,Clams
Cyprinella caerulea,Blue shiner,Wherever found,4,Threatened,Fishes
Lemiox rimosus,Birdwing pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
