scientific_name,common_name,listing_location,listing_region,esa_status,group,Url
Pleuronaia dolabelloides,Slabside Pearlymussel,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1518
Pleuronaia gibber,Cumberland pigtoe,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1981
Potamilus capax,Fat pocketbook,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/2780
Potamilus inflatus,Inflated heelsplitter,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/7286
Procambarus econfinae,Panama City crayfish,Wherever found,4,Threatened,Crustaceans,https://ecos.fws.gov/ecp/species/8915
Ptychobranchus greenii,Triangular Kidneyshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/4396
Ptychobranchus jonesi,Southern kidneyshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/7539
Ptychobranchus subtentus,Fluted kidneyshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/1397
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/5165
Quadrula fragosa,Winged Mapleleaf,U.S.A. (AL-specified portions of the Tennessee River; see 17.85(a)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/4127
Quadrula stapes,Stirrupshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/5863
Rana sevosa,dusky gopher frog,Wherever found,4,Endangered,Amphibians,https://ecos.fws.gov/ecp/species/5600
Reginaia rotulata,Round Ebonyshell,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/3039
Scaphirhynchus suttkusi,Alabama sturgeon,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/2552
Speoplatyrhinus poulsoni,Alabama cavefish,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/50
Theliderma intermedia,Cumberland monkeyface (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6999
Theliderma intermedia,Cumberland monkeyface (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/6999
Theliderma intermedia,Cumberland monkeyface (pearlymussel),"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/6999
Theliderma sparsa,Appalachian monkeyface (pearlymussel),USA (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/7154
Toxolasma cylindrellus,Pale lilliput (pearlymussel),Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/3118
Tulotoma magnifica,Tulotoma snail,Wherever found,4,Threatened,Snails,https://ecos.fws.gov/ecp/species/2103
Villosa trabalis,Cumberland bean (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6061
