County,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed. Status,State Status,Habitat,Wet Habitat Flag
Smith,Vertebrate Animal,Fish,Notropis rupestris,Bedrock Shiner,G2,S2,--,D,Bedrock pools of some low-gradient streams of the Nashville Basin.,Aquatic
Smith,Invertebrate Animal,Mollusc,Obovaria retusa,Ring Pink,G1,S1,"LE,XN",E,Large rivers in gravel and sand bars; Tennessee & Cumberland river watersheds; many historic locations currently inundated.,Aquatic
Smith,Invertebrate Animal,Mollusc,Obovaria subrotunda,Round Hickorynut,G4,S2S3,PT,"Rare, Not State Listed","Medium-large rivers in sand and gravel subst with moderate flow; TN & Cumb rivers; also Red River in Robertson Co., W Highland Rim.",Aquatic
Smith,Invertebrate Animal,Crustacean,Orconectes incomptus,Tennessee Cave Crayfish,G2,S1,--,E,Aquatic cave obligate; subterranean streams & shallow pools; lower-elevation caves of Highland Rim escarp; Cumb River watershed.,Aquatic
Smith,Invertebrate Animal,Mollusc,Plethobasus cicatricosus,White Wartyback,G1,S1,"LE, XN",E,Presumed to inhabit shoals and riffles in large rivers; Tennessee & Cumberland river systems.  Very rare & poss extirpated in TN.,Aquatic
Smith,Invertebrate Animal,Mollusc,Plethobasus cooperianus,Orangefoot Pimpleback,G1,S1,"LE, XN",E,Large rivers in sand-gravel-cobble substrates in riffles and shoals in deep flowing water; Cumberland & Tennessee river systems.,Aquatic
Smith,Invertebrate Animal,Mollusc,Plethobasus cyphyus,Sheepnose,G3,S2S3,LE,E,"Large to medium-sized rivers, in riffles and coarse sand/gravel subst; TN & Cumb river systems incl KY Reservoir; W Uplands & Rim.",Aquatic
Smith,Invertebrate Animal,Mollusc,Pleurobema clava,Clubshell,G1G2,SH,LE,E,"Small/med-sized rivers and streams; deeply buried in sand/fine gravel or in clean, coarse sand/gravel runs; lower Cumb. & Tenn. rivers.",Aquatic
Smith,Invertebrate Animal,Mollusc,Pleurobema plenum,Rough Pigtoe,G1,S1,"LE, XN",E,"Medium to large rivers in sand, gravel, and cobble substrates of shoals; Tennessee & Cumberland river systems.",Aquatic
Smith,Invertebrate Animal,Mollusc,Pleuronaia dolabelloides,Slabside Pearlymussel,G2,S2,LE,E,"Lg creeks to mod sized rivers, in riffles/shoals of sand, fine gravel, and cobble substrates with mod current; Tennessee R watershed.",Aquatic
Smith,Invertebrate Animal,Mollusc,Lampsilis abrupta,Pink Mucket,G1G2,S2,LE,E,"Generally a large river species, preferring sand-gravel or rocky substrates with mod-strong currents; Tennessee & Cumberland river systems.",Aquatic
Smith,Invertebrate Animal,Mollusc,Lithasia armigera,Armored Rocksnail,G3G4,S1S2,--,"Rare, Not State Listed","Partially buried logs, gravel, and preferably submerged rock outcrops; lower Cumberland River & larger tributaries; Obey River.<br>",Aquatic
Smith,Invertebrate Animal,Mollusc,Epioblasma brevidens,Cumberlandian Combshell,G1,S1,"LE, XN",E,"Large creeks to large rivers, in coarse sand or mixtures of gravel, cobble, or rocks; Tennessee & Cumberland river systems.",Aquatic
Smith,Invertebrate Animal,Mollusc,Epioblasma capsaeformis,Oyster Mussel,G1,S1,"LE, XN",E,Shallow riffles in mod-swift current of small-medium rivers with coarse sand and gravel; Tennessee &amp; Cumberland river systems excluding the Duck River.,Aquatic
Smith,Invertebrate Animal,Mollusc,Epioblasma obliquata,Catspaw,G1,S1,LE,E,"Medium-large rivers, in sand and gravel substrates in runs and riffles; Tennessee & Cumberland river systems.",Aquatic
